insurer,auto_dependency,urban_dependency,weighted_vehicle_value,weighted_urban_score
Insurer_A,0.08370603148151448,0.0837060314815145,0.18073364711700465,0.12989827707567606
Insurer_B,0.08916390253829311,0.08916390253829308,0.19398841939713202,0.23629966676527173
Insurer_C,0.24453800756759494,0.2445380075675949,0.3603675993678715,0.35664723397911013
Insurer_D,0.09645951700673801,0.09645951700673802,0.17710720057393609,0.2468076903345024
Insurer_E,0.0006734647774675556,0.0006734647774675533,0.11804619185386232,0.13027693349596722
Insurer_F,-0.00821530434299422,-0.008215304342994225,0.14735924516539214,0.14879348214623014
Insurer_G,0.1632305392006647,0.1632305392006647,0.26226350421567446,0.30677133451426375
Insurer_H,0.3200560370609034,0.32005603706090296,0.3199261887223808,0.4063943427909685
Insurer_I,-0.08817205217738411,-0.08817205217738416,0.026754524597647242,0.1768165272069908
Insurer_J,0.07473127041074822,0.07473127041074822,0.3277542537564572,0.19902994566254129
Insurer_K,-0.029240450926722457,-0.02924045092672246,0.05961487128236513,0.11513334722197699
