Target,Feature,Importance
Insurer_A_price,claim_free_years,14.780224665006308
Insurer_A_price,driver_age_band_18-24,11.998961430410008
Insurer_A_price,payment_frequency_yearly,9.012149336691923
Insurer_A_price,payment_frequency_monthly,8.706104259637588
Insurer_A_price,cfy_standardized_by_province,5.790712378347979
Insurer_A_price,contractor_birthdate,4.600007669192637
Insurer_A_price,coverage_casco,4.3812251370102135
Insurer_A_price,vehicle_fuel_type_petrol,4.26577380817723
Insurer_A_price,vehicle_value_new,4.252148480975692
Insurer_A_price,municipality,4.0850984264737775
Insurer_A_price,vehicle_age,2.863201476360281
Insurer_A_price,Insurer_C_deductible,2.845134699635103
Insurer_A_price,vehicle_net_weight,2.2006998311442776
Insurer_A_price,vehicle_power,2.1826172458255284
Insurer_A_price,vehicle_model,2.088808728860116
Insurer_A_price,urban_amenities_score,1.9362307788153454
Insurer_A_price,log_vehicle_value_new,1.9311863604709851
Insurer_A_price,Insurer_J_deductible,1.4649399133624448
Insurer_A_price,vehicle_gross_weight,1.4179902326626783
Insurer_A_price,combined_risk_score,1.2943676544003495
Insurer_A_price,driver_age_band_25-30,1.2822814208432265
Insurer_A_price,postal_code_owner_occupied_houses_ratio,1.235021336489456
Insurer_A_price,Insurer_G_deductible,1.0278750862840138
Insurer_A_price,Insurer_B_deductible,0.8750222081409164
Insurer_A_price,postal_code_average_property_value,0.838101228833748
Insurer_A_price,coverage_limited_casco,0.7531713121844621
Insurer_A_price,vehicle_number_plate,0.5871213803577665
Insurer_A_price,postal_code_urban_category,0.5131172194992684
Insurer_A_price,driver_age_band_81-90,0.43164866426913
Insurer_A_price,postal_code_address_density,0.3590576296375232
Insurer_B_price,pred_Insurer_A_price,66.95647494251695
Insurer_B_price,coverage_casco,4.392448981163907
Insurer_B_price,cfy_standardized_by_province,4.043844729527563
Insurer_B_price,claim_free_years,3.3885805924675987
Insurer_B_price,vehicle_age,2.9495222789429416
Insurer_B_price,municipality,1.5580604450491564
Insurer_B_price,vehicle_gross_weight,1.404102452269652
Insurer_B_price,Insurer_J_deductible,1.2867280383536897
Insurer_B_price,postal_code,1.185410663637212
Insurer_B_price,contractor_birthdate,1.099522786902832
Insurer_B_price,vehicle_fuel_type_diesel,0.984130193111686
Insurer_B_price,postal_code_latitude,0.9817929797097223
Insurer_B_price,vehicle_power_to_net_weight_ratio,0.9031338878414943
Insurer_B_price,vehicle_net_max_power,0.8396016573840224
Insurer_B_price,vehicle_model,0.8001092193722517
Insurer_B_price,Insurer_B_deductible,0.7378012177221887
Insurer_B_price,municipality_crimes_per_1000,0.7155128284777368
Insurer_B_price,vehicle_nominal_continuous_max_power,0.6826408084455037
Insurer_B_price,postal_code_average_household_size,0.6281717893778589
Insurer_B_price,vehicle_engine_size,0.5953636165376144
Insurer_B_price,Insurer_C_deductible,0.5427841415852528
Insurer_B_price,postal_code_social_benefit_recipients_ratio,0.5365660827775426
Insurer_B_price,postal_code_average_property_value,0.4665064546131642
Insurer_B_price,log_vehicle_value_new,0.4552538389442721
Insurer_B_price,vehicle_value_new,0.4384897113978711
Insurer_B_price,driver_age_band_18-24,0.40464622178008236
Insurer_B_price,vehicle_number_plate,0.37954863465744987
Insurer_B_price,driver_age_band_71-80,0.34846339940389326
Insurer_B_price,driver_age_band_90+,0.2947874060289964
Insurer_C_price,pred_Insurer_A_price,50.62425805546667
Insurer_C_price,pred_Insurer_B_price,19.78018400986923
Insurer_C_price,vehicle_maker,3.371805465448002
Insurer_C_price,municipality,3.2224863452310233
Insurer_C_price,driver_age_band_18-24,2.556538465774364
Insurer_C_price,vehicle_model,2.4773136635486823
Insurer_C_price,vehicle_age,1.718538164629697
Insurer_C_price,province,1.608691755394291
Insurer_C_price,postal_code,1.6004862263400987
Insurer_C_price,vehicle_net_weight,1.4888088405978561
Insurer_C_price,coverage_casco,1.4823615408056763
Insurer_C_price,contractor_birthdate,1.258831982009993
Insurer_C_price,driver_age_band_25-30,1.0604804688456846
Insurer_C_price,vehicle_net_max_power,0.8669912223804788
Insurer_C_price,cfy_standardized_by_province,0.8661497286833354
Insurer_C_price,vehicle_number_of_seats,0.8261598791702328
Insurer_C_price,vehicle_power,0.7640431238906621
Insurer_C_price,vehicle_engine_size,0.7264520615241393
Insurer_C_price,log_vehicle_value_new,0.7045291173925122
Insurer_C_price,postal_code_social_benefit_recipients_ratio,0.5815837811558886
Insurer_C_price,vehicle_value_new,0.489228347208447
Insurer_C_price,vehicle_number_plate,0.4769442207916879
Insurer_C_price,driver_age_band_61-70,0.42407688189504655
Insurer_C_price,quote_id,0.39726584480202515
Insurer_C_price,coverage_limited_casco,0.33350273979213874
Insurer_C_price,Insurer_J_deductible,0.2922880673523404
Insurer_D_price,pred_Insurer_B_price,30.392068259705862
Insurer_D_price,pred_Insurer_A_price,26.481447541847846
Insurer_D_price,pred_Insurer_C_price,11.988967002495851
Insurer_D_price,driver_age_band_18-24,4.155091629579069
Insurer_D_price,claim_free_years,2.459209820567104
Insurer_D_price,vehicle_age,2.0275862921162915
Insurer_D_price,cfy_standardized_by_province,1.786255490459308
Insurer_D_price,Insurer_J_deductible,1.73803228682682
Insurer_D_price,Insurer_H_deductible,1.453388028322341
Insurer_D_price,coverage_mtpl,1.393126063950029
Insurer_D_price,postal_code_urban_category,1.3652362197801167
Insurer_D_price,log_vehicle_value_new,1.1865061590851356
Insurer_D_price,postal_code_latitude,1.1793794968339264
Insurer_D_price,vehicle_planned_annual_mileage,1.1270373244713818
Insurer_D_price,driver_age_band_25-30,1.0672448372398597
Insurer_D_price,coverage_limited_casco,1.0296380299727532
Insurer_D_price,postal_code_multi_family_houses_ratio,1.006591377740485
Insurer_D_price,postal_code,0.9702319827281243
Insurer_D_price,contractor_birthdate,0.919267672661411
Insurer_D_price,vehicle_power,0.8156398641178317
Insurer_D_price,vehicle_nominal_continuous_max_power,0.7719770007930405
Insurer_D_price,vehicle_net_max_power_electric,0.7700879922119359
Insurer_D_price,Insurer_C_deductible,0.732003936522392
Insurer_D_price,province,0.7202212160725497
Insurer_D_price,postal_code_average_property_value,0.6829576549534413
Insurer_D_price,vehicle_number_plate,0.46990470369629206
Insurer_D_price,driver_age_band_71-80,0.36456313694950343
Insurer_D_price,Insurer_B_deductible,0.331936955988954
Insurer_D_price,driver_age_band_90+,0.3138852227392511
Insurer_D_price,driver_age_band_31-40,0.3005167995710708
Insurer_E_price,Insurer_E_deductible,98.37887566305575
Insurer_E_price,pred_Insurer_A_price,0.5473247330105923
Insurer_E_price,pred_Insurer_B_price,0.4148851936993855
Insurer_E_price,pred_Insurer_C_price,0.41113460173145816
Insurer_E_price,pred_Insurer_D_price,0.2477798085028073
Insurer_F_price,pred_Insurer_A_price,24.073535814228862
Insurer_F_price,pred_Insurer_C_price,18.108421694742667
Insurer_F_price,pred_Insurer_D_price,17.666245746376983
Insurer_F_price,pred_Insurer_B_price,16.224809284376832
Insurer_F_price,coverage_limited_casco,3.0142671443669764
Insurer_F_price,coverage_casco,2.503488534171805
Insurer_F_price,vehicle_net_weight,1.5056917563048426
Insurer_F_price,Insurer_J_deductible,1.4834070075281436
Insurer_F_price,Insurer_B_deductible,1.4059972540874206
Insurer_F_price,vehicle_power,1.3221187086602624
Insurer_F_price,cfy_standardized_by_province,1.2852901218201718
Insurer_F_price,vehicle_age,1.2806886507586308
Insurer_F_price,postal_code_social_benefit_recipients_ratio,1.0040081379298942
Insurer_F_price,pred_Insurer_E_price,0.9924612062827964
Insurer_F_price,driver_age_band_18-24,0.9856607856891707
Insurer_F_price,contractor_birthdate,0.9167886734222596
Insurer_F_price,vehicle_fuel_type_petrol,0.8635813701457455
Insurer_F_price,claim_free_years,0.8299278081557945
Insurer_F_price,vehicle_maker,0.8119561343649289
Insurer_F_price,vehicle_value_new,0.7144918258478867
Insurer_F_price,postal_code_owner_occupied_houses_ratio,0.6199288680772732
Insurer_F_price,coverage_mtpl,0.580198329905857
Insurer_F_price,vehicle_number_plate,0.5656042442345758
Insurer_F_price,log_vehicle_value_new,0.4687403106252702
Insurer_F_price,vehicle_power_to_net_weight_ratio,0.38693518091824325
Insurer_F_price,Insurer_H_deductible,0.3857554069767345
Insurer_G_price,pred_Insurer_B_price,48.411824287176685
Insurer_G_price,pred_Insurer_F_price,12.265007053006645
Insurer_G_price,vehicle_age,4.376204882459773
Insurer_G_price,Insurer_G_deductible,4.216583673833801
Insurer_G_price,coverage_mtpl,3.9511861478136914
Insurer_G_price,cfy_standardized_by_province,3.386880546979879
Insurer_G_price,claim_free_years,2.833243489470099
Insurer_G_price,Insurer_A_deductible,2.2333706944177414
Insurer_G_price,pred_Insurer_D_price,2.0712445135305573
